,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
1435,surulere,"Off western avenue,Alaka Estate Surulere Lagos",1 beds 1 baths 1 Toilets,1,1,1,Brand New Mini Flat,900000,,8BZEX,"Updated 20 Apr 2021, Added 22 Jan 2019",Serviced Newly Built,"Security
POP Ceiling
Supermarket Nearby
Street Lights
Parking Space
Restaurants Nearby
24 Hours Security
Security doors
Mosques Nearby
Big Compound
24 hours Electricity
Gym
Water Treatment
Church Nearby
1 Bedrooms
New
Serviced","Brand New Mini Flat with an ample paking space for letting at Alaka Estate,surulere,lagos mainland.The rent is 900,000 naira,minimum rent of 1 year,10% legal fees,10% agency fees,400,000 service charge.The property is suitable for 100% Residential Purpose"
1437,surulere,Adetola rdAguda Surulere Lagos,3 beds 2 baths 2 Toilets,3,2,2,Decent 3 Bedroom Apartment,800000,,8EJLB,"Updated 20 Apr 2021, Added 27 Feb 2021",,,
1438,surulere,Olukole Street Masha Surulere Lagos,4 beds 3 baths 3 Toilets,4,3,3,Lovely and spacious 4bedroom Duplex in a serene and secured neighborhood..,2500000,,0EJXH,"Updated 20 Apr 2021, Added 04 Mar 2021",,,
1439,surulere,Surulere idi araba ilasha close to luth hospital.Idi Araba Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Brand new 2bedrooms flat,700000,,9DWMX,"Updated 20 Apr 2021, Added 23 Sep 2020",,2 Bedroom,"Newly Built 2 Bedroom flat up & down all room ensuite plus guest toilet, parking space, pop, gated, prepaid meter, screeded walls etc

Location: Idi Araba (Ilasha) close to luth hospital

Price: 800kneg. 700k can fly
(Agt kunle lere)."
1440,surulere,Mabo Street off ishaga rdOjuelegba Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,"Lovely and spacious 2bedroom apartment upstairs, in a decent and serene neighborhood",850000,,8EJRT,"Updated 20 Apr 2021, Added 02 Mar 2021",Serviced,"2 Bedrooms
Serviced","Lovely and spacious 2 bedroom flat with all room ensuit, visitors toilet,pop ceiling, parking lot, fitted kitchen, wardrobes etc in a serene neighborhood
SC/N150k"
1442,surulere,"Mutual Alpha Court, Iponrin EstateIponri Surulere Lagos",3 beds 3 baths 3 Toilets,3,3,3,2. Bedroom Flat. All Room Ensuite.,2000000,,0CCGF,"Updated 20 Apr 2021, Added 22 Mar 2019",Newly Built,,
1443,surulere,Oke olu Lawanson Surulere Lagos,1 beds 1 baths 2 Toilets,1,1,2,Mini flat for rent,450000,,1DCKL,"Updated 20 Apr 2021, Added 17 Mar 2020",,"1 Bedrooms
Renovated","Mini flat for rent newly built in oke olu lawanson Surulere. p o p, water and pre paid"
1445,surulere,oniRandle Avenue Surulere Lagos,3 beds 3 baths Toilets,3,3,0,2 bedroom,800000,,4CAYX,"Updated 20 Apr 2021, Added 20 Feb 2019",,"Security
Water Treatment
Free WiFi
Restaurants Nearby
Office Supplies
3 Bedrooms
Cheap",clean 2bedroom flat at randle
1446,surulere,Off Aborisade stLawanson Surulere Lagos,1 beds 1 baths 2 Toilets,1,1,2,Newly built spacious miniflat upstairs,650000,,6ENGS,"Updated 20 Apr 2021, Added 10 Apr 2021",Newly Built,"1 Bedrooms
New","Newly built spacious miniflat with 2toilet,screeded wall,pop ceilings,prepaid metre carpark with security guard and a secured neighborhood off Aborisade street Lawanson 650k per annum.Proximity to island"
1447,surulere,OFF BROWN ROADAguda Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom flat for RENT,950000,,5CBFF,"Updated 20 Apr 2021, Added 26 Feb 2019",,,
1448,surulere,off adelabuAdelabu Surulere Lagos,2 beds 3 baths 3 Toilets,2,3,3,2 bedroom flat,1200000,,0CBH,"Updated 20 Apr 2021, Added 28 Feb 2019",,,
1449,surulere,Bode thomas surulere.Bode Thomas Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedroom flat,1600000,,1DWNL,"Updated 20 Apr 2021, Added 23 Sep 2020",Furnished,"2 Bedrooms
Furnished","TOLET

A Decent and spacious 2bedroom flat downstairs all rooms ensuite,guest toilet, kitchen cabinet wardrobes, prepaid meter, water heater, well ventilated rooms and car park. Just 3yrs old house. PAY AND PACK IN.

Price: 1.6m
1.5m might fly.

Location: On Bodethomas road Surulere.

Client must b a salary earner..
(Agt kunle lere)."
